date,open,high,low,close,volume
2015-12-01,75.45,75.62,74.64,75.02,1842779
2015-12-02,74.88,75.14,74.10,74.20,1539498
2015-12-03,74.44,74.60,72.49,72.77,1844103
2015-12-04,73.44,75.65,72.64,75.53,1653577
2015-12-07,75.40,75.45,74.06,74.61,818962
2015-12-08,75.49,75.77,73.99,74.32,1967257
2015-12-09,73.68,74.29,72.09,72.48,1684751
2015-12-10,72.32,73.25,72.04,72.13,1574734
2015-12-11,71.03,71.46,69.73,70.11,1400047
2015-12-14,70.39,70.83,68.50,70.03,2129440
2015-12-15,70.75,73.28,70.66,72.68,1647498
2015-12-16,73.72,74.59,72.64,74.05,1853683
2015-12-17,74.54,74.54,71.86,71.97,1314803
2015-12-18,70.82,71.44,69.98,70.06,2750647
2015-12-21,70.57,71.44,70.53,71.15,769727
2015-12-22,71.81,72.72,70.96,72.04,946629
2015-12-23,72.33,73.16,72.24,73.10,750951
2015-12-24,72.80,73.39,72.74,72.96,382842
2015-12-28,72.78,72.95,72.22,72.90,674644
2015-12-29,73.43,74.14,73.16,73.58,647683
2015-12-30,73.32,73.82,72.82,72.83,590241
2015-12-31,72.55,73.18,72.08,72.09,985082
2016-01-04,70.29,70.90,69.66,70.59,1782509
2016-01-05,70.86,71.13,70.17,70.69,863841
2016-01-06,69.19,69.58,68.69,69.01,1186560
2016-01-07,67.37,68.20,66.81,67.18,1355254
2016-01-08,68.01,68.01,65.84,65.93,1275322
2016-01-11,66.68,67.59,65.12,65.89,1148881
2016-01-12,66.77,66.83,65.33,66.31,1332653
2016-01-13,66.58,66.86,64.60,64.75,2183129
2016-01-14,65.39,66.55,64.18,65.74,1501728
2016-01-15,63.95,65.77,63.43,63.78,2596732
2016-01-19,64.88,65.38,63.48,63.93,2274371
2016-01-20,63.00,63.00,60.18,61.43,4026718
2016-01-21,62.04,62.27,58.98,59.01,3794391
2016-01-22,60.59,61.02,59.69,60.42,3475318
2016-01-25,59.94,60.28,58.74,58.79,2031973
2016-01-26,59.12,60.44,58.86,59.85,2377585
2016-01-27,59.91,61.82,59.34,59.81,2061752
2016-01-28,60.30,60.81,58.84,59.77,1655352
2016-01-29,60.12,62.08,59.33,62.08,1834716
2016-02-01,61.57,62.02,60.89,61.25,2099406
2016-02-02,60.65,61.88,58.79,59.24,2087447
2016-02-03,59.88,59.93,57.45,59.46,1689482
2016-02-04,59.21,60.47,59.20,60.34,1551932
2016-02-05,60.20,60.86,59.84,60.02,2102993
2016-02-08,59.05,60.45,56.97,57.72,2718759
2016-02-09,57.08,58.36,56.32,57.99,2300557
2016-02-10,58.55,59.05,56.87,56.90,2075811
2016-02-11,55.22,55.93,54.38,54.50,3778087
2016-02-12,55.81,56.94,54.77,56.85,2089013
2016-02-16,57.87,58.83,57.32,58.25,2176959
2016-02-17,58.95,60.35,58.95,59.61,1705790
2016-02-18,59.81,59.81,58.47,59.08,1587240
2016-02-19,58.61,59.58,58.07,59.38,1118070
2016-02-22,60.09,61.15,60.09,60.90,1217679
2016-02-23,60.54,60.57,58.97,59.74,1654600
2016-02-24,58.59,58.85,56.77,58.72,1707029
2016-02-25,58.77,59.61,58.26,59.52,1285998
2016-02-26,60.00,61.13,59.33,60.24,1719170
2016-02-29,60.06,60.52,59.37,59.38,1078530
2016-03-01,60.04,62.66,60.04,62.50,1841489
2016-03-02,61.92,63.26,61.59,63.23,2183998
2016-03-03,63.04,64.67,62.05,64.43,1997363
2016-03-04,65.09,66.02,64.86,65.66,2080056
2016-03-07,64.81,66.18,64.66,65.89,1591379
2016-03-08,65.01,65.44,63.49,63.96,1809086
2016-03-09,64.18,64.75,63.34,63.64,1081918
2016-03-10,64.38,64.56,62.66,63.60,1390565
2016-03-11,64.47,65.75,63.45,65.71,1124067
2016-03-14,65.42,65.79,64.79,65.45,1058330
2016-03-15,64.85,65.02,63.87,65.00,1013139
2016-03-16,64.71,65.56,63.94,64.69,1007946
2016-03-17,64.64,65.33,63.85,65.16,1176497
2016-03-18,65.47,66.54,64.16,66.04,1733556
2016-03-21,65.83,66.69,65.53,66.13,642628
2016-03-22,65.66,66.47,65.34,66.11,648883
2016-03-23,65.90,66.10,65.41,65.63,627915
2016-03-24,65.01,65.22,64.27,65.22,681741
2016-03-28,65.51,65.93,64.74,65.06,877220
2016-03-29,64.65,64.97,63.50,64.97,1272391
2016-03-30,65.74,66.23,65.25,65.48,782510
2016-03-31,65.40,65.96,65.00,65.17,891483
2016-04-01,64.52,65.95,64.09,65.85,934363
2016-04-04,65.87,66.53,65.19,65.68,927540
2016-04-05,64.91,65.39,64.13,64.56,930562
2016-04-06,64.18,65.27,64.06,65.18,1137461
2016-04-07,64.49,64.49,62.67,63.02,1402790
2016-04-08,63.69,64.28,62.97,63.26,953386
2016-04-11,63.67,64.68,63.49,63.88,920652
2016-04-12,64.08,65.25,63.99,65.16,909272
2016-04-13,65.62,67.66,65.24,67.61,1204746
2016-04-14,65.79,69.03,65.79,67.98,2131519
2016-04-15,67.93,68.19,67.04,67.58,896049
2016-04-18,67.49,68.46,67.03,68.29,1393216
2016-04-19,69.05,71.90,68.69,71.84,2271828
2016-04-20,71.17,72.43,70.66,72.25,1924620
2016-04-21,72.17,73.00,71.47,71.78,2347778
2016-04-22,71.66,72.80,71.55,72.36,1780480
2016-04-25,72.17,72.25,71.12,71.67,1741499
2016-04-26,71.99,72.56,71.81,72.47,1335336
2016-04-27,72.18,73.00,71.88,72.27,1733924
2016-04-28,71.69,72.51,71.31,71.61,1225611
2016-04-29,71.22,71.72,70.41,71.08,1673652
2016-05-02,71.75,71.96,70.77,71.86,1004714
2016-05-03,70.65,70.65,69.19,70.28,1338975
2016-05-04,69.53,70.08,68.78,69.33,1490053
2016-05-05,69.64,69.97,68.80,68.99,1332540
2016-05-06,68.29,69.29,68.04,69.02,1456011
2016-05-09,68.98,69.38,68.43,68.72,1168976
2016-05-10,69.15,70.32,69.15,70.28,950761
2016-05-11,70.12,70.67,69.39,69.42,1215318
2016-05-12,69.96,70.59,68.94,69.46,1063997
2016-05-13,69.31,70.19,68.26,68.47,1151515
2016-05-16,68.66,69.41,68.56,68.99,696641
2016-05-17,68.70,69.72,68.21,68.93,1064985
2016-05-18,68.96,71.55,68.58,71.53,1607730
2016-05-19,71.75,71.80,70.00,71.00,1922850
2016-05-20,71.35,72.39,71.35,71.88,1368028
2016-05-23,71.73,72.45,70.88,71.32,1021291
2016-05-24,71.96,73.00,71.67,72.63,1106207
2016-05-25,73.00,74.21,72.69,74.06,1510983
2016-05-26,73.89,74.16,73.33,73.77,1273065
2016-05-27,74.00,74.29,73.56,74.24,1031633
2016-05-31,74.64,74.86,73.78,74.10,1413267
2016-06-01,72.78,74.09,72.59,74.02,869295
2016-06-02,73.57,74.36,73.45,74.35,838520
2016-06-03,72.04,72.99,71.11,72.32,2163528
2016-06-06,72.52,73.71,72.35,73.31,1085108
2016-06-07,73.49,73.49,72.55,72.61,805327
2016-06-08,72.49,73.07,72.33,72.68,895545
2016-06-09,72.24,72.50,71.30,71.87,1190550
2016-06-10,71.21,71.50,70.63,70.98,1528375
2016-06-13,70.57,71.52,70.49,70.67,1028751
2016-06-14,70.46,71.08,69.08,69.43,901142
2016-06-15,69.57,70.82,69.44,69.73,1190801
2016-06-16,68.90,69.33,68.15,69.28,1410444
2016-06-17,69.33,69.97,68.85,69.28,1305813
2016-06-20,70.73,71.05,69.45,69.49,1299553
2016-06-21,69.58,69.95,69.19,69.53,1130204
2016-06-22,69.78,70.15,69.33,69.39,1039661
2016-06-23,70.39,71.54,70.17,71.54,1225899
2016-06-24,68.43,68.43,65.47,65.50,3729457
2016-06-27,64.73,65.00,61.32,61.67,2068882
2016-06-28,62.84,63.63,61.77,63.57,2125611
2016-06-29,64.36,65.50,63.66,65.27,2037289
2016-06-30,64.74,66.30,64.31,66.26,2474504
2016-07-01,65.76,66.27,65.20,65.23,1254237
2016-07-05,64.58,64.68,62.94,63.55,1293138
2016-07-06,62.77,63.53,61.86,63.47,1329928
2016-07-07,62.96,64.49,62.78,63.52,1426839
2016-07-08,64.49,65.40,64.17,64.53,1420680
2016-07-11,65.44,66.00,64.75,65.03,1036997
2016-07-12,65.79,66.48,65.79,66.29,1134568
2016-07-13,66.57,66.57,65.50,65.87,1183361
2016-07-14,67.19,67.53,66.67,66.78,976005
2016-07-15,67.32,67.37,66.57,67.02,964999
2016-07-18,67.15,67.64,67.09,67.42,784262
2016-07-19,67.37,67.37,66.58,67.11,2291393
2016-07-20,67.75,67.75,65.15,66.47,2774678
2016-07-21,67.04,67.46,66.46,66.73,1950788
2016-07-22,67.02,67.19,66.60,67.08,924510
2016-07-25,66.84,67.23,66.74,67.11,834241
2016-07-26,66.95,68.12,66.95,68.08,1449078
2016-07-27,68.40,69.28,68.24,68.48,1559933
